"Airline","Comments","Country","ICAO","Call sign"
"Blue Star Airlines","","Mexico","BSD","AIRLINES STAR"
"Brasair Transportes Aéreos","","Brazil","BSI","BRASAIR"
"Blue Swan Aviation","ICAO Code and callsign (BSJ/BLUE SWAN) withdrawn","United Kingdom","BSJ","BLUE SWAN"
"Blue Sky Aviation","","Lebanon","BSM",""
"Bissau Aero Transporte","","Guinea-Bissau","BSS","BISSAU AIRSYSTEM"
"Best Air","","Turkey","BST","TUNCA"
"Blue Sky Airways","","Czech Republic","BSW","SKY BLUE"
"Big Sky Airlines","","United States","BSY","BIG SKY"
"BAL Bashkirian Airlines","","Russia","BTC","BASHKIRIAN"
"Baltijas Helicopters","","Latvia","BTH","BALTIJAS HELICOPTERS"
"Baltyka","","Ukraine","BTK","BALTYKA"
"Baltia Air Lines","Callsign changed from ""BALTIA FLIGHT"" in 2015","United States","BTL","BALTIA"
"Botir-Avia","","Kyrgyzstan","BTR","BOTIR-AVIA"
"Business Express","","United States","GAA","BIZEX"
"BT-Slavuta","","Ukraine","BTT","BEETEE-SLAVUTA"
"Batavia Air","As of June 1, 2010, IATA code changed to Y6.","Indonesia","BTV","BATAVIA"
"Bristow U.S. LLC","","United States","BTZ","BRISTOW"
"Bulgarian Air Charter","","Bulgaria","BUC","BULGARIAN CHARTER"
"Blue Airlines","","Democratic Republic of the Congo","BUL","BLUE AIRLINES"
"Buryat Airlines Aircompany","","Russia","BUN","BURAL"
"Buzz Stansted","","United Kingdom","BUZ","BUZZ"
"Buffalo Airways","","United States","BVA","BUFFALO AIR"
"Bulgarian Aeronautical Centre","","Bulgaria","BVC","BULGARIAN WINGS"
"Baron Aviation Services","","United States","BVN","SHOW-ME"
"Berjaya Air","","Malaysia","BVT","BERJAYA"
"Bellview Airlines, Sierra Leone","","Sierra Leone","BVU",""
"Blue Wings","defunct","Germany","BWG","BLUE WINGS"
"Blue Wing Airlines","","Suriname","BWI","BLUE TAIL"
"British World Airlines","","United Kingdom","BWL","BRITWORLD"
"Bahrain Executive Air Services","","Bahrain","BXA","BEXAIR"
"Bar XH Air","","Canada","BXH","PALLISER"
"Brussels International Airlines","","Belgium","BXI","XENIA"
"BAX Global","","","",""
"Berry Aviation","","United States","BYA","BERRY"
"San Carlos Flight Center","","United States","BYF","BAY FLIGHT"
"Bylina Joint-Stock Company","","Russia","BYL","BYLINA"
"Berytos Airlines","","Lebanon","BYR",""
"Bayu Indonesia Air","","Indonesia","BYE","BAYU"
"Bizair Fluggesellschaft","","Germany","BZA","BERLIN BEAR"
"Brit Air","","France","BZH","BRITAIR"
"Butane Buzzard Aviation Corporation","","United Kingdom","BZZ","BUZZARD"
"Business Flight Salzburg","","Austria","AUJ","AUSTROJET"
"BKS Air (Rivaflecha)","","Spain","CKM","COSMOS"
"Bristol Flying Centre","","United Kingdom","CLF","CLIFTON"
"Barnes Olsen Aeroleasing","","United Kingdom","CLN","SEELINE"
"Baltimore Air Transport","","United States","CPJ","CORPJET"
"Boston-Maine Airways","Pan Am Clipper Connection Pan Am III","United States","CXS","CLIPPER CONNECTION"
"Brussels Airlines","","Belgium","BEL","BEE-LINE"
"Baltimore Airways","","United States","EAH","EASTERN"
"Bond Aviation","","Italy","EBA","BOND AVIATION"
"Brazilian Army Aviation","","Brazil","EXB","BRAZILIAN ARMY"
"Business Express Delivery","","Canada","EXP","EXPRESS AIR"
"Bel Limited","","Russia","FOS",""
"Bangkok Aviation Center","","Thailand","HAW","THAI HAWK"
"Benair","","Norway","HAX","SCOOP"
"Binter Canarias","","Spain","IBB","BINTER"
"Bonyad Airlines","","Iran","IRJ","BONYAD AIR"
"Burundaiavia","","Kazakhstan","IVR","RERUN"
"Blue Air","","Romania","BMS","BLUE MESSANGER"
"British Mediterranean Airways","","United Kingdom","LAJ","BEE MED"
"Belle Air","","Albania","LBY","ALBAN-BELLE"
"Blom Geomatics","","Norway","LED","SWEEPER"
"Benin Littoral Airways","","Benin","LTL","LITTORAL"
"Bombardier Business Jet Solutions","","United States","LXJ","FLEXJET"
"Bulgaria Air","","Bulgaria","LZB","FLYING BULGARIA"
"Brazilian Navy Aviation","","Brazil","MBR","BRAZILIAN NAVY"
"Barents AirLink","previously Nordkalottflyg","Sweden","NKF","NORDFLIGHT"
"Belgian Navy","","Belgium","NYB","BELGIAN NAVY"
"Bakoji Airlines Services","","Nigeria","OGJ","BAKO AIR"
"Benders Air","","Sweden","PEB","PALEMA"
"Balmoral Central Contracts","","South Africa","PNT","PORTNET"
"BGB Air","","Kazakhstan","POI","BOJBAN"
"Butte Aviation","","United States","PPS","PIPESTONE"
"Bond Air Services","","United Kingdom","RHD","RED HEAD"
"Business Airfreight","","United States","RLR","RATTLER"
"BAC Express Airlines","","United Kingdom","RPX","RAPEX"
"Boscombe Down DERA (Formation)","","United Kingdom","RRS","BLACKBOX"
"Business Jet Sweden","","Sweden","SCJ","SCANJET"
"British Airways Shuttle","BA domestic services","United Kingdom","SHT","SHUTTLE"
"British Sky Broadcasting","","United Kingdom","SKH","SKYNEWS"
"Bell Helicopter Textron","","Canada","TXB","TEXTRON"
"Buzzaway Limited","","United Kingdom","UKA","UKAY"
"Biz Jet Charter","","United States","VLX","AVOLAR"
"Blue Chip Jet","","Sweden","VOL","BLUE SPEED"
"BAE Systems","Woodford Flight Test","United Kingdom","WFD","AVRO"
"BAE Systems","Warton Military Flight Ops","United Kingdom","WTN","TARNISH"
"Baseops International","","United States","XBO",""
"Bureau Veritas","","France","XDA",""
"British Airways Santa","Christmas charter flights","United Kingdom","XMS","SANTA"
"Boskovic Air Charters Limited","","Kenya","ZBA","BOSKY"
"Blue Sky Airlines","","Armenia","BLM","BLUE ARMENIA"
"Conquest Air","2014","United States","QAI","CHICKPEA"
"Continental Airways","2014","Moldovoa","CNW",""
"Croix Rouge Francais","2014","France","CRF","CROIX ROUGE"
"Corporate Eagle Management Services","Allocated in 2014","United States","CBH","CLUB HOUSE"
"Connect Air","Allocated in 2014","Canada","CCT","CONNECT"
"Commerce Bank","(Kansas City) Allocated in 2014","United States","CME","COMMERCE BANK"
"Civil Aviation Authority of the Czech Republic","","Czech Republic","CAA","INSPECTOR"
"Civil Air Patrol South Carolina Wing","","United States","BKR","BOX KAR"
"Compagnie Nationale Naganagani","","Burkino Faso","BFN",""
"Civil Aviation Authority Directorate of Airspace Policy","","United Kingdom","AWX","ALLWEATHER"
"Civil Aviation Authority Airworthiness Division","","United Kingdom","BBN","BRABAZON"
"CHC Helicopters Nigeria","","Nigeria","ATQ","COLIBRI"
"Corporativo Aereo Principal","","Mexico","APL","AEREO PRINCIPAL"
"Chief of Staff, United States Air Force","","United States","AIO","AIR CHIEF"
"Christian Konig - Century Airbirds","","Austria","AID","CENTURY AIRBIRD"
"Cambridge Recurrent Training","","United Kingdom","","CAMBRIDGE"
"California Department of Forestry and Fire Protection","","United States","","CALFIRE"
"Careflight Queensland","","Australia","","SAMARITAN"
"Castle Air Charter","","United Kingdom","","CASTLEFILM"
"Challenges Aviation","","United Kingdom","","TIGER"
"Challenges Limited","","United Kingdom","","HERITAGE"
"Cheqair","","United Kingdom","","ASTON"
"Clacton Aero Club","","United Kingdom","","CLASSIC WINGS"
"Coral Sun Airways","","Kirbati","","CORAL SUN"
"Cowan Group","","United States","","COWAN"
"Carpatair Flight Service","Was Carpatair Flight Training","Romania","SMW","SMART WINGS"
"Cambodia Airlines","","Cambodia","CCL","ANGKOR WAT"
"Caricom Airways","","Barbados","CCB","DOLPHIN"
"China Southern Airlines Henan","","China","CYH","YUHAO"
"Chongqing Forebase General Aviation","","China","CFB","FOREBASE"
"Colt Transportes Aereos","","Brazil","XCA","COLT"
"CHC Global Operations International","","United Kingdom","GCY","HELIBIRD"
"C and M Aviation","","United States","TIP","TRANSPAC"
"C Air Jet Airlines","","Syrian Arab Republic","SRJ","SYRJET"
"C N Air","","Spain","ORO","CAPRI"
"C&M Airways","","United States","RWG","RED WING"
"C.S.P., Societe","","Mauritania","RMU","AIR-MAUR"
"Caliber Jet","","United States","CJZ","CALIBER JET"
"Cameroon Airlines Corporation","","Cameroon","CRC","CAMAIRCO"
"Common Sky","","Austria","AUN","COMMON SKY"
"Cabi","","Ukraine","CBI","CABI"
"Compagnia Aerea Italiana","","Italy","CPI","AIRCAI"
"CAL Cargo Air Lines","","Israel","ICL","CAL"
"CAM Air Management","","United Kingdom","CMR","CAMEO"
"CATA Línea Aérea","","Argentina","CTZ","CATA"
"CCF Manager Airline","","Germany","CCF","TOMCAT"
"CEDTA (Compañía Ecuatoriana De Transportes Aéreos)","","Ecuador","CED","CEDTA"
"CHC Denmark","","Denmark","HBI","HELIBIRD"
"CHC Helicopter","","Australia","HEM","HEMS"
"CHC Airways","formerly Schreiner Airways","Netherlands","SCH","SCHREINER"
"CHC Helikopter Service","","Norway","HKS","HELIBUS"
"CI-Tours","","Ivory Coast","VCI","CI-TOURS"
"CKC Services","","United States","CKC",""
"CM Stair","","Mauritania","CMZ","CEE-EM STAIRS"
"Centre national d'études des télécommunications - C.N.E.T.","","France","CNT","KNET"
"COAPA AIR","","Mexico","OAP","COAPA"
"COMAV","","Namibia","PDR","SPEEDSTER"
"CRI Helicopters Mexico","","Mexico","CRH","HELI-MEX"
"CSA Air","","United States","IRO","IRON AIR"
"CSE Aviation","","United Kingdom","CSE","OXFORD"
"CTK Network Aviation","","Ghana","CTQ","CITYLINK"
"Cabair College of Air Training","","United Kingdom","CBR","CABAIR"
"Cabo Verde Express","","Cape Verde","CVE","KABEX"
"Caernarfon Airworld","","United Kingdom","CWD","AMBASSADOR"
"Caicos Express Airways","","Turks and Caicos Islands","CXE","CAICOS"
"Cairo Air Transport Company","","Egypt","CCE",""
"Cal Gulf Aviation","","São Tomé and Príncipe","CGC","CAL-GULF"
"Cal-West Aviation","","United States","REZ","CAL AIR"
"California Air Shuttle","","United States","CSL","CALIFORNIA SHUTTLE"
"Calima Aviación","","Spain","CMV","CALIMA"
"Calm Air","","Canada","CAV","CALM AIR"
"Camai Air","Village Aviation","United States","CAM","AIR CAMAI"
"Cambodia Angkor Air","","Cambodia","KHV","ANGKOR AIR"
"Cameroon Airlines","defunct","Cameroon","UYC","CAM-AIR"
"Campania Helicopteros De Transporte","","Spain","HSO","HELIASTURIAS"
"CanJet","","Canada","CJA","CANJET"
"Canada Jet Charters","","Canada","PIL","PINNACLE"
"Canadian Airlines","defunct","Canada","CDN","CANADIAN"
"Canadian Coast Guard","","Canada","CTG","CANADIAN COAST GUARD"
"Canadian Eagle Aviation","","Canada","HIA","HAIDA"
"Canadian Forces","","Canada","CFC","CANFORCE"
"Canadian Global Air Ambulance","ICAO Code and callsign no longer allocated","Canada","BZD","BLIZZARD"
"Canadian Helicopters","","Canada","CDN","CANADIAN"
"Canadian Interagency Forest Fire Centre","ICAO Code and callsign no longer allocated","Canada","TKR","TANKER"
"Canadian National Telecommunications","ICAO Code and callsign no longer allocated","Canada","XNC",""
"Canadian North","Air Norterra","Canada","MPE","EMPRESS"
"Canadian Pacific Airlines","ICAO Code and callsign no longer allocated","Canada","CPC","EMPRESS"
"Canadian Regional Airlines","ICAO Code and callsign no longer allocated","Canada","CDR","CANADIAN REGIONAL"
"Canadian Warplane Heritage Museum","","Canada","CWH","WARPLANE HERITAGE"
"Canadian Western Airlines","","Canada","CWA","CANADIAN WESTERN"
"Canair","","China","CWW","CANAIR"
"Cancun Air","","Mexico","CUI","CAN-AIR"
"Cape Air","","United States","KAP","CAIR"
"Cape Air Transport","","Australia","CTO",""
"Cape Central Airways","","United States","SEM","SEMO"
"Cape Smythe Air","","United States","CMY","CAPE SMYTHE AIR"
"Capital Air Service","","United States","CPX","CAPAIR"
"Capital Airlines","","Kenya","CPD","CAPITAL DELTA"
"Capital Airlines Limited","","Nigeria","NCP","CAPITAL SHUTTLE"
"Capital Cargo International Airlines","Allocation deleted 2013","United States","CCI","CAPPY"
"Capital City Air Carriers","","United States","CCQ","CAP CITY"
"Capital Trading Aviation","","United Kingdom","EGL","PRESTIGE"
"Capitol Air Express","","United States","CEX","CAPITOL EXPRESS"
"Capitol Wings Airline","","United States","CWZ","CAPWINGS"
"Caravan Air","","Mauritania","VAN","CAMEL"
"Cardiff Wales Flying Club","","United Kingdom","CWN","CAMBRIAN"
"Cardinal/Air Virginia","","United States","FVA","AIR VIRGINIA"
"Cardolaar","","Namibia","GOL","CARGOLAAR"
"Cards Air Services","","Philippines","CDI","CARDS"
"Care Flight","","Australia","CFH","CARE FLIGHT"
"Carga Aérea Dominicana","","Dominican Republic","CDM","CARGA AEREA"
"Carga Express Internacional","","Mexico","EST","CARGAINTER"
"Cargo 360","","United States","GGC","LONG-HAUL"
"Cargo Express","","Mauritania","MCX","MAURICARGO"
"Cargo Ivoire","","Ivory Coast","CRV","CARGOIV"
"Cargo Link (Caribbean)","","Barbados","CLM","CARGO LINK"
"Cargo Logic Air","","United Kingdom","CLA","FIREBIRD"
"Cargo Three","","Panama","CTW","THIRD CARGO"
"Cargoitalia","","Italy","CRG","WHITE PELICAN"
"Cargojet Airways","","Canada","CJT","CARGOJET"
"Cargolux","","Luxembourg","CLX","CARGOLUX"
"Cargolux Italia","","Italy","ICV","CARGO MED"
"Cargoman","","Oman","CGM","HOTEL CHARLIE"
"Carib Aviation","","Antigua and Barbuda","DEL","RED TAIL"
"Carib Express","","Barbados","BCB","WAVEBIRD"
"Caribair","","Dominican Republic","CBC","CARIBAIR"
"Caribbean Air Cargo","","Barbados","DCC","CARICARGO"
"Caribbean Air Transport","ICAO Code and callsign no longer allocated","Netherlands","CLT","CARIBBEAN"
"Club Aerocelta de Vuelo Con Motor","","Spain","CLT",""
"Caribbean Airlines","","Trinidad and Tobago","BWA","CARIBBEAN"
"Caribbean Airways","","Barbados","IQQ","CARIBJET"
"Choice Airways","","United States","CSX","CHOICE AIR"
"Caribbean Express","","United States","TLC","CARIB-X"
"Caribbean Star Airlines","","Antigua and Barbuda","GFI","CARIB STAR"
"Caricom Airways","","Suriname","CRB","CARIBBEAN COMMUTER"
"Caribintair","","Haiti","CRT","CARIBINTAIR"
"Carill Aviation","","United Kingdom","CVG","CARILL"
"Carpatair","","Romania","KRP","CARPATAIR"
"Carranza","defunct","Chile","CRR","CARRANZA"
"Carroll Air Service","","United States","ULS","ULSTER"
"Casement Aviation","","United States","CMT","CASEMENT"
"Casino Airline","","United States","CSO","CASAIR"
"Casper Air Service","","United States","CSP","CASPER AIR"
"Caspian Airlines","","Iran","CPN","CASPIAN"
"Castle Aviation","","United States","CSJ","CASTLE"
"Cat Aviation","","Switzerland","CAZ","EUROCAT"
"Catalina Flying Boats","","United States","CBT","CATALINA AIR"
"Catex","","France","TEX","CATEX"
"Cathay Pacific","","Hong Kong","CPA","CATHAY"
"Caverton Helicopters","","Nigeria","CJR","CAVERTON AIR"
"Cayman Airways","","Cayman Islands","CAY","CAYMAN"
"Cebu Pacific","","Philippines","CEB","CEBU"
"Cecil Aviation","","United Kingdom","CIL","CECIL"
"Cega Aviation","","United Kingdom","CEG","CEGA"
"Celtic Airways","","United Kingdom","CEC","CELTAIR"
"Celtic West","","United Kingdom","CWE","CELTIC"
"Centavia","","Serbia","CNA",""
"Cente D'Essais En Vol","","France","CEV","CENTEV"
"Centennial Airlines","","United States","CNL","WYO-AIR"
"Cobalt Air","","United States","CNS","CHRONOS"
"Center Vol","","Spain","CVO","CENTERVOL"
"Center-South","","Russia","CTS","CENTER-SOUTH"
"Centrafrican Airlines","","Central African Republic","CET","CENTRAFRICAIN"
"Central Air Express","","Democratic Republic of the Congo","CAX","CENTRAL EXPRESS"
"Central Airlines","","United States","CTL","CENTRAL COMMUTER"
"Central Airways","","Sierra Leone","CNY","CENTRAL LEONE"
"Central American Airlines","","Nicaragua","ACN","AEROCENTRO"
"Central Aviation","","United States","YOG","YOGAN AIR"
"Central Connect Airlines","","Czech Republic","CCG",""
"Central De Discos De Reynosa","","Mexico","DRN","DISCOS REYNOSA"
"Central European Airlines","","Czech Republic","CMA","EUROCENTRAL"
"Central Flying Service","","United States","CHA","CHARTER CENTRAL"
"Central Mongolia Airways","","Mongolia","CEM","CENTRAL MONGOLIA"
"Central Mountain Air","","Canada","GLR","GLACIER"
"Central Queensland Aviation College","","Australia","CQC",""
"Central Skyport","","United States","CSI","SKYPORT"
"Centralwings","","Poland","CLW","CENTRALWINGS"
"Centre Airlines","","United States","DTV","DUTCH VALLEY"
"Centre of Applied Geodynamica","","Russia","CGS","GEO CENTRE"
"Centre-Avia","","Russia","CVC","AVIACENTRE"
"Centro De Helicopteros Corporativos","","Mexico","CCV","HELICORPORATIVO"
"Centro de Formación Aeronáutica de Canarias","","Spain","ACF","FORCAN"
"Centurion Air Cargo","","United States","CWC","CHALLENGE CARGO"
"Century Aviation","","Mexico","URY","CENTURY AVIA"
"Century Aviation International","","Canada","HAI",""
"Certified Air Dispatch","","United States","XAD",""
"Cetraca Aviation Service","","Democratic Republic of the Congo","CER","CETRACA"
"Chabahar Airlines","","Iran","IRU","CHABAHAR"
"Chalair Aviation","","France","CLG","CHALLAIR"
"Chalk's International Airlines","","United States","CHK","CHALKS"
"Challenge Air Transport","","Germany","CLS","AIRISTO"
"Challenge Aviation","","Australia","CHS","CHALLENGE AVIATION"
"Challenge International Airlines","","United States","OFF","CHALLENGE AIR"
"Challenge Aero","","Ukraine","CHG","SKY CHALLENGER"
"Champagne Airlines","","France","CPH","CHAMPAGNE"
"Champion Air","","United States","CCP","CHAMPION AIR"
"Chanchangi Airlines","","Nigeria","NCH","CHANCHANGI"
"Chang An Airlines","","China","CGN","CHANGAN"
"Channel Island Aviation","","United States","CHN","CHANNEL"
"Chantilly Air","","United States","WML","MARLIN"
"Chaparral Airlines","","United States","CPL","CHAPARRAL"
"Chari Aviation Services","","Chad","CSU","CHARI SERVICE"
"Charlan Air Charter","ICAO Code and callsign no longer allocated","South Africa","CAH","CHARLAN"
"Charlie Hammonds Flying Service","","United States","HMD","HAMMOND"
"Charlotte Air National Guard","","United States","CGD",""
"Charter Air","","Austria","CHW","CHARTER WIEN"
"Chartright Air","","Canada","HRT","CHARTRIGHT"
"Chautauqua Airlines","Was US*","United States","CHQ","CHAUTAUQUA"
"Cheboksary Airenterprise JSC","","Russia","CBB","CHEBAIR"
"Chemech Aviation","","Pakistan","CHM",""
"Cherline","","Russia","CHZ","CHERL"
"Chernomor-Avia","","Russia","CMK","CHERAVIA"
"Cherokee Express","","United States","CBM","BLUE MAX"
"Cherry Air","","United States","CCY","CHERRY"
"Chesapeake Air Service","","United States","CAB","CHESAPEAKE AIR"
"Chevron U.S.A","","United States","CVR","CHEVRON"
"Cheyenne Airways","","United States","CYA","CHEYENNE AIR"
"Chicago Air","","United States","CGO","WILD ONION"
"Chicago Express Airlines","defunct","United States","WDY","WINDY CITY"
"Chief Rat Flight Services","","South Africa","RAT","RIVERRAT"
"Chilchota Taxi Aéreo","","Mexico","CCH","CHILCHOTA"
"Chilcotin Caribou Aviation","","Canada","DES","CHILCOTIN"
"Chilliwack Aviation","","Canada","CAD","CHILLIWACKAIR"
"Chim-Nir Aviation","","Israel","ETN","CHMINIR"
"China Airlines","","Taiwan","CAL","DYNASTY"
"China Cargo Airlines","","China","CKK","CARGO KING"
"China Eastern Airlines","","China","CES","CHINA EASTERN"
"China Express Airlines","","China","HXA","CHINA EXPRESS"
"China Flying Dragon Aviation","","China","CFA","FEILONG"
"China General Aviation Corporation","","China","CTH","TONGHANG"
"China National Aviation Corporation","","China","CAG","CHINA NATIONAL"
"China Northern Airlines","defunct.","China","CBF","CHINA NORTHERN"
"China Northwest Airlines","defunct","China","CNW","CHINA NORTHWEST"
"China Ocean Helicopter Corporation","","China","CHC","CHINA HELICOPTER"
"China Postal Airlines","","China","CYZ","CHINA POST"
"China Southern Airlines","","China","CSN","CHINA SOUTHERN"
"China Southwest Airlines","defunct","China","CXN","CHINA SOUTHWEST"
"China United Airlines","","China","CUA","LIANHANG"
"China Xinhua Airlines","","China","CXH","XINHUA"
"China Yunnan Airlines","defunct","China","CYH","YUNNAN"
"Chinguetti Airlines","","Mauritania","CGU","CHINGUETTI"
"Chipola Aviation","","United States","CEP","CHIPOLA"
"Chippewa Air Commuter","","United States","CPW","CHIPPEWA-AIR"
"Chitaavia","","Russia","CHF","CHITA"
"Christman Air System","","United States","CAS","CHRISTMAN"
"Christophorus Flugrettungsverein","","Austria","OEC","CHRISTOPHORUS"
"Chrome Air Services","","United States","CHO","CHROME AIR"
"Church Aircraft","","United States","CHU","CHURCHAIR"
"Cielos Airlines","","Peru","CIU","CIELOS"
"Cimber Sterling","","Denmark","CIM","CIMBER"
"Cinnamon Air","","Sri Lanka","CIN","CINNAMON"
"Cirrus","defunct","Chile","RRU","HELICIRRUS"
"Cirrus Air","","United States","NTS","NITE STAR"
"Cirrus Airlines","defunct","Germany","RUS","CIRRUS AIR"
"Cirrus Middle East","","Lebanon","JTI",""
"CitationAir","","United States","FIV","FIVE STAR"
"Citibank","","United States","XCX",""
"Citic General Aviation","","China","HZX","ZHONGXIN"
"City Airline","","Sweden","SDR","SWEDESTAR"
