"Declining stem","English derivatives","Citation form","Meaning"
"sinu-","insinuation, sine, sinus, sinuose, sinuosity, sinuous","sinus","curve"
"socc-","sock","soccus","slipper"
"soccul-","sock","†socculus","slipper"
"soci-","associate, association, associative, consociate, consociation, consociational, disassociate, disassociation, dissociable, dissocial, dissociate, dissociation, dissociative, interassociation, nonassociative, sociability, sociable, social, sociality, sociative, societal, society","socius, socia",""
"sol-","circumsolar, extrasolar, insolate, insolation, solar, solarium, soliform, soliscence, solstice, subsolar","sol","sun"
"solid-","nonsolid, quasisolid, semisolid, sol, solder, soldier, soldiery, soldo, solid, solidarity, solidary, solidification, solidity, solidus, sou","solidus",""
"soli-","soil, soilure, subsoil","solium","seat"
"sol-","aridisol, entresol, inceptisol, insole, sole (fish), sole (foot), soleus, solifluxion, solum","solum, solea","bottom"
"sol-","desolate, desolation, desolatory, saudade, sole, soliloquy, solitaire, solitary, solitude, solitudinarian, solitudinous, solivagous, solo, sullen","solus","alone, only"
"somni-","somnial","somnium","dream"
"somn-","insomnia, somnifacient, somniferous, somnific, somniloquy, somnolent","somnus","sleep"
"son-","absonant, ambisonic, assonance, assonant, assonate, consonance, consonant, consonous, dissonance, dissonant, inconsonance, inconsonant, infrasonic, infrasound, resonance, resonant, resonate, resound, sonance, sonant, sonnet, sonorant, sonority, soun, sound, subsonic, supersonic, triconsonantal, ultrasonic, ultrasound, unison, unisonal, unisonant, unisonous","sonus","sound"
"sopor-","sopor, soporific","sopor","deep sleep"
"soror-","cousin, sororal, sororate, sororicide, sorority","soror","sister"
"sort-","consort, consortial, consortium, sort, sortition, subsort","sors","lot"
"sorticul-","consort, consortial, consortium, sort, sortition, subsort","†sorticula","lot"
"spati-","interspace, interspatial, space, spatial, spatiate, subspace","spatium","space"
"spēr-","despair, desperado, desperate, desperation, esperance, prosper, prosperity, prosperous","spēs","hope"
"spic-","spica, spicate, spicose, spicosity, spicular, spiculate, spicule, spiculiform","spica",""
"spicul-","spica, spicate, spicose, spicosity, spicular, spiculate, spicule, spiculiform","†spiculum",""
"spin-","infraspinate, infraspinatus, interspinal, spinal, spine, spinel, spinescent, spiniferous, spiniform, spinose, spinous","spina","thorn"
"spūm-","despumate, despumation, spoom, spumante, spume","spūma","foam"
"squām-","desquamate, desquamation, desquamative, squamate, Squamella, squamiform, squamosal, squamose, squamous, squamule, squamulose, subsquamosal, supersquamosal","squāma","scale"
"squāmul-","desquamate, desquamation, desquamative, squamate, Squamella, squamiform, squamosal, squamose, squamous, squamule, squamulose, subsquamosal, supersquamosal","†squāmula","scale"
"stagn-","stagnancy, stagnant, stagnate, stagnation","stagnum",""
"stell-","circumstellar, constellation, interstellar, stellar, stellate, stellation, substellar","stella","star"
"steril-","nonsterile, sterile, sterility","sterilis",""
"stil-","stiletto","stilus",""
"stimul-","costimulation, costimulatory, stimulate, stimulation, stimulative, stimulator, stimulus","stimulus",""
"stipit-","etiolate, etiolation, exstipulate, instipulate, stipe, stipel, stipellate, stipes, stipitate, stipitiform, stipular, stipule, stubble","stipes",""
"stipell-","etiolate, etiolation, exstipulate, instipulate, stipe, stipel, stipellate, stipes, stipitate, stipitiform, stipular, stipule, stubble","†stipella",""
"stipul-","etiolate, etiolation, exstipulate, instipulate, stipe, stipel, stipellate, stipes, stipitate, stipitiform, stipular, stipule, stubble","†stipula",""
"stip-","stipend","stips",""
"stiri-","distill, distilland, distillate, distillation, distillery, stillatitious, stillatory","stiria","drop"
"still-","distill, distilland, distillate, distillation, distillery, stillatitious, stillatory","†stilla","drop"
"stirp-","extirpate, extirpation","stirps",""
"strenu-","strenuity, strenuous","strēnuus",""
"stri-","extrastriate, striate, striation, striatum, striature","stria","furrow"
"strig-","strigine, Strix","strix","owl"
"stupp-","stupeous, stupose","stuppa","tow"
"stupr-","constuprate, constupration","stuprum",""
"suav-","assuage, assuagement, suave, suaviloquent, suaviloquy, suavity","suavis","sweet"
"succ-","exsuccous, succulence, succulent","sucus succus","juice"
"sulc-","bisulcate, bisulcous, sulcal, sulcate, sulcation, sulciform, sulcus, trisulcate","sulcus","furrow"
"super- • superior- • suprem-, sum-","insuperable, superable • superior, superiority • consummate, sum, summa, summation, summit, summitry, summity, supreme, supremity, supremum","superus • superior • supremus, summus","over • higher • highest"
"supin-","resupinate, resupination, resupine, supinate, supination, supinator, supine, supinity","supīnus",""
"sur-","sural","sūra","calf"
"surd-","absurd, absurdity, surd","surdus","deaf"
"sur-","surculate, surculose","sūrus","branch"
"surcul-","surculate, surculose","†sūrculus","branch"
"su-","suid, Suidae","sūs","sow"
"susurr-","susurrant, susurrate, susurration, susurrous","susurrus",""
"tabern-","tabernacle, tabernacular, tavern","taberna",""
"tabernacul-","tabernacle, tabernacular, tavern","tabernaculum",""
"tab-","tabefaction, tabes, tabescence, tabescent, tabid","tabes",""
"tabul-","tabellion, table, tablet, tabular, tabulate, tabulation, tabulator","tabula","board"
"tabell-","tabellion, table, tablet, tabular, tabulate, tabulation, tabulator","†tabella","board"
"taedi-","tediosity, tedium","taedium",""
"tard-","retard, retardation, tardy","tardus","slow"
"templ-","templar, template","templum","temple"
"tempor-","contemporaneous, contemporary, extemporaneous, tempest, tempo, temporal, temporaneous, temporary","tempus","time"
"tenu-","attenuant, attenuate, attenuation, attenuator, extenuate, extenuation, tenuate, tenuifolious, tenuis, tenuity, tenuous","tenuis","thin"
"termin-","coterminous, determinable, determinant, determinate, determination, determinative, determinator, determine, exterminate, extermination, indeterminable, indeterminate, interminable, terminal, terminate, termination, terminative, terminator","terminus","boundary"
"tern-","tern, ternary, ternate, ternion","terni","three each"
"terr-","atterration, circumterrestrial, disinter, disinterment, extraterrestrial, extraterritorial, extraterritoriality, inter, interment, parterre, reinter, reinterment, souterrain, subterrane, subterranean, terrace, terracotta, terrain, terran, terrane, terraqueous, terrarium, terrene, terreplein, terrestrial, terricolous, terrier, terrigenous, territorial, territoriality, territory, terroir, tureen","terra","dry land"
"terti-","sesquitertian, sesterce, subtertian, Terce, tercet, tercine, tertial, tertian, tertiary, tertiate, tierce","tertius","third"
"test-","attest, attestable, attestation, attestator, contest, contestable, contestant, contestation, counter-protest, detest, detestable, detestation, incontestability, incontestable, intestable, intestacy, intestate, obtest, obtestation, protest, Protestant, protestation, protestator, testacy, testament, testamentary, testamur, testate, testation, testator, testatrix, testicle, testicond, testicular, testiculate, testimonial, testimonium, testimony","testis","witness"
"titul-","disentitle, disentitlement, entitle, entitlement, intertitle, nontitle, retitle, subtitle, tilde, titular, titulary, titulus","titulus","title"
"tōt-","factotum, subtotal, total, totality, totipotent","tōtus","all, whole"
"tri-","trey, triangle, triceps, triennial, trillion, triolet, triple, triplet, triplicate, triquetra, triquetrous, triradiate, trireme, triumvirate, trivia","tres","three"
"trib-","attributable, attribute, attribution, attributive, contribute, contribution, contributive, contributor, contributory, deattribute, deattribution, distributable, distributary, distribute, distribution, distributive, distributor, equidistribution, intertribal, nondistributive, redistribute, redistribution, retribute, retribution, retributive, subtribe, tribal, tribe, tribunal, tribune, tributary, tribute","tribus",""
"tric-","extricable, extricate, extrication, inextricable, intricacy, intricate, intrigant, intrigue, treacherous, treachery, trickery","tricae","tricks"
"trīn-","nontrinitarian, trinal, trinary, trine, Trinidad, Trinitarian, trinity","trīnī","three each"
"tub-","intubate, intubation, tubal, tubate, tube, tubicolous, tubicorn, tubiform, tubular, tubulate, tubule","tubus","tube"
"tubul-","intubate, intubation, tubal, tubate, tube, tubicolous, tubicorn, tubiform, tubular, tubulate, tubule","†tubulus","tube"
"turb-","disturb, disturbance, nonperturbative, perturb, perturbance, perturbation, perturbative, trouble, troublous, turbid, turbidity, turbinate, turbine, turbulence, turbulent","turba",""
"turbul-","disturb, disturbance, nonperturbative, perturb, perturbance, perturbation, perturbative, trouble, troublous, turbid, turbidity, turbinate, turbine, turbulence, turbulent","†turbula",""
"tuss-","pertussis, tussive","tussis","cough"
"ūber-","exuberance, exuberant, exuberate, uberous, uberty","ūber","udder"
"ulcer-","nonulcerous, ulcer, ulcerate, ulceration, ulcerative, ulcerous","ulcus","sore"
"ulcuscul-","nonulcerous, ulcer, ulcerate, ulceration, ulcerative, ulcerous","†ulcusculum","sore"
"ulm-","Ulmaceae, ulmaceous, ulmic, Ulmus","ulmus","elm"
"ultr- • ulterior- • ultim-","– • ulterior, ulteriority • penultimate, ultima, ultimate, ultimatum, ultimogeniture","ulter • ulterior • ultimus","– • farther • farmost, farthest"
"umbr-","adumbrate, adumbration, inumbrate, penumbra, umbrage, umbrageous, umbrella","umbra","shade, shadow"
"unbell-","adumbrate, adumbration, inumbrate, penumbra, umbrage, umbrageous, umbrella","†umbella","shade, shadow"
"unci-","inch, ounce, quincuncial, uncial","uncia","twelfth"
"unc-","unciform, Uncinaria, uncinate, Uncinia","uncus","hook"
"und-","abound, abundance, abundant, inundate, redound, redundancy, redundant, superabound, superabundance, superabundant, surround, undulant, undulate, undulation, undulatory, undulose","unda","wave"
"undecim-","undecimarticulate","undecim","eleven"
"unden-","undenary","undeni","eleven each"
"ungu-","ungual, unguiferous, unguiform, ungular, ungulate","unguis","claw, hoof"
"ungul-","ungual, unguiferous, unguiform, ungular, ungulate","†ungula","claw, hoof"
"un-","coadunate, onion, unary, unate, uniform, uniformity, union, unique, unite, unity","unus","one"
"urb-","conurbation, interurban, suburb, suburban, urban, urbane","urbs","city"
"urs-","ursine, Ursus","ursus","bear"
"uter-","extrauterine, transuterine, uterine, uterus","uterus","womb"
"utercul-","extrauterine, transuterine, uterine, uterus","†uterculus","womb"
"uv-","uvea, uveal, uvula, uvular","ūva","grape"
"uvul-","uvea, uveal, uvula, uvular","†ūvula","grape"
"uxōr-","uxorial, uxoricide, uxorilocal, uxorious","uxor","wife"
"vacc-","vaccary, vaccination, vaccine, vaquero","vacca","cow"
"vacu-","avoid, avoidable, avoidance, devoid, evacuate, evacuee, vacuole, vacuous, vacuum, void, voidable, voidance","vacuus","empty"
"vad-","vadose","vadum","ford"
"vāgīn-","extravaginal, invaginate, invagination, transvaginal, vagina, vaginal, vanilla","vāgīna","sheath"
"vag-","astray, evagation, extravagance, extravagant, extravaganza, extravagate, stray, vagabond, vagary, vagile, vague, vagus","vagus","wandering"
"valg-","valgus","valgus","bow-legged"
"vall-","circumvallate, circumvallation, contravallation, interval, multivallate, vallar, vallate, vallation, vallum","vallum","rampart"
"valv-","bivalve, valvate, valve","valva",""
"van-","evanesce, evanescence, evanescent, evanish, vaniloquence, vanish, vanitas, vanity, vaunt","vanus","empty, vain"
"vari-","bivariate, contravariance, contravariant, countervair, covariance, covariant, covariate, covariation, intervarietal, invariable, invariance, invariant, miniver, multivariable, multivariate, subvariety, univariate, vair, vairy, variability, variable, variance, variant, variate, variation, variational, variegate, variegation, variegator, varietal, variety, variform, variola, variolation, variorum, various, vary","varius","varying"
"vās-","extravasate, extravasation, extravascular, intravasate, intravasation, intravascular, vas, vasal, vascular, vasculature, vasculose, vasculum, vase, vasiform, vasoconstriction","vās","vessel"
"vāscell-","extravasate, extravasation, extravascular, intravasate, intravasation, intravascular, vas, vasal, vascular, vasculature, vasculose, vasculum, vase, vasiform, vasoconstriction","†vāscellum","vessel"
"vāscul-","extravasate, extravasation, extravascular, intravasate, intravasation, intravascular, vas, vasal, vascular, vasculature, vasculose, vasculum, vase, vasiform, vasoconstriction","†vāsculum","vessel"
"vass-","valet, varlet, vassal, vassalage","vassus","servant"
"vassall-","valet, varlet, vassal, vassalage","†vassallus","servant"
"vast-","devastate, devastation, vast, vastitude, vastity, wastage, waste","vastus","empty"
"veller-","vellus","vellus","fleece"
"veloc-","velocipede, velociraptor, velocity","velox • velocior • velocissimus","quick, swift"
"vēl-","reveal, revelation, revelator, revelatory, velamen, velar, velate, veliger, velum, vexil, vexillary, vexillation, vexillum, voile","vēlum","sail, veil"
"vēxill-","reveal, revelation, revelator, revelatory, velamen, velar, velate, veliger, velum, vexil, vexillary, vexillation, vexillum, voile","†vēxillum","flag"
"vēn-","devein, intravenous, vein, veinlet, venae cavae, venation, venational, venesection, venipuncture, venisection, venose, venosity, venous, venular, venule, venulose","vēna","vein"
"venul-","devein, intravenous, vein, veinlet, venae cavae, venation, venational, venesection, venipuncture, venisection, venose, venosity, venous, venular, venule, venulose","†venula","vein"
"venēn-","envenomation, venenation, venenose, venom, venomous","venēnum",""
"ventr-","eventration, interventricular, subventricular, supraventricular, ventral, ventricle, ventricular, ventriloquy","venter","belly"
"vent-","ventage, ventail, ventilate, ventilation, ventilator, ventilatory, ventose, ventosity","ventus","wind"
"ventul-","ventage, ventail, ventilate, ventilation, ventilator, ventilatory, ventose, ventosity","†ventulus","wind"
"ven-","venal, venality, vend","venum",""
"vener-","venerable, venereal","venus","desire"
"vērātr-","veratridine, veratrine, Veratrum","vērātrum","hellebore"
"verb-","adverb, adverbial, proverb, proverbial, verbal, verbatim, verbiage, verbicide, verbid, verbose, verbosity","verbum","word"
"verm-","vermeil, vermian, vermicelli, vermicide, vermicular, vermiculate, vermiculation, vermicule, vermiculite, vermiculose, vermiculture, vermiform, vermifuge, vermilion, vermin, verminate, vermination, verminous, vermiparous, vermivore, vermivorous","vermis","worm"
"vermicul-","vermeil, vermian, vermicelli, vermicide, vermicular, vermiculate, vermiculation, vermicule, vermiculite, vermiculose, vermiculture, vermiform, vermifuge, vermilion, vermin, verminate, vermination, verminous, vermiparous, vermivore, vermivorous","†vermiculus","worm"
"vern-","vernal","vernus","spring"
"ver-","veracious, veracity, verify, veritable, verity","vērus","true"
"vesp-","vespacide","vespa","wasp"
"vesper-","vespertine","vesper","evening"
"vestig-","investigate, vestige, vestigial","vestigium","trace, track"
"vest-","circumvest, disinvest, disinvestment, divest, divestiture, divestment, invest, investiture, investment, reinvest, reinvestment, revest, revet, revetment, transvestite, travesty, vest, vestment, vesture","vestis","clothing"
"veter-","inveteracy, inveterate, inveteration, veteran, veterovata","vetus","old"
"vi-","bivial, bivious, bivium, convey, conveyance, convoy, deviance, deviant, deviate, deviation, devious, envoy, impervious, invoice, nontrivial, obviate, obviation, obvious, pervious, previous, quadrivial, quadrivium, semipervious, trivial, triviality, trivium, via, viaduct, vialis, viary, viatical, viaticum, viator, voyage, voyageur","via","way"
"vicen-, vigen-","vicenarian, vicenary","viceni","twenty each"
"vīcēsim-","vicesimary, vicesimate, vicesimation, vigesimal","vīcēsimus","twentieth"
"vic-","subvicar, vicar, vicarage, vicarial, vicariance, vicariant, vicariate, vicarious, viceroy, vicissitude, vicissitudinous, viscount, viscountess","vicis","change"
"vic-","vicinage, vicinal, vicine, vicinity","vicus",""
"vīgēsim-","septemvigesimal, vigesimal","vīgēsimus","twentieth"
"vīl-","revile, revilement, vile, vilification, vilify, vilipend","vīlis • vilior • vilissimus","cheap, vile"
"vīll-","demivill, intervillage, supervillain, supervillainess, vill, villa, village, villain, villainess, villainous, villainy, villanelle, villatic, ville, villein, villeinage","vīlla","country house"
"vīllul-","demivill, intervillage, supervillain, supervillainess, vill, villa, village, villain, villainess, villainous, villainy, villanelle, villatic, ville, villein, villeinage","†vīllula","country house"
"vill-","intervillous, velour, velvet, villiform, villose, villosity, villous, villus","villus","shaggy hair"
"vindic-","avenge, revanche, revenge, vendetta, vengeance, vindicable, vindicate, vindication, vindicator, vindicatory, vindictive","vindex",""
"vin-","vignette, vine, viniculture, vinosity","vinum","wine"
"vir-","quadrumvirate, triumvirate, virago, virile, virility, virtue","vir","man (masculine)"
"virg-","virga, virgate, virgule","virga","rod, twig"
"viscer-","eviscerate, visceral, viscus","viscus","internal organ"
"vit-","revitalize, viable, vital, vitality, vitamin","vita","life"
"viti-","vice, vicious, vitiate","vitium",""
"vitr-","vitreous, vitriol","vitrum","glass"
"viverr-","viverrid, viverrine","viverra","ferret"
"vol-","volar","vola","palm"
"vōc-","advocacy, advocate, advowson, avocate, avocation, avoke, avouch, avouchment, avow, avowal, avowance, avowant, avowry, convocation, convoke, devoice, disavouch, disavow, disavowal, disavowance, equivocal, equivocation, equivocator, invocation, irrevocable, nonvocal, prevocalic, provocation, revocable, revocation, revoice, revoke, sub voce, univocal, univocalic, univocity, vocable, vocabulary, vocal, vocalic, vocality, vocation, vocational, vocative, vociferant, vociferous, voice, voiceprint, vouch, voucher, vouchment, vouchsafe, vowel","vox","voice"
"vōcul-","advocacy, advocate, advowson, avocate, avocation, avoke, avouch, avouchment, avow, avowal, avowance, avowant, avowry, convocation, convoke, devoice, disavouch, disavow, disavowal, disavowance, equivocal, equivocation, equivocator, invocation, irrevocable, nonvocal, prevocalic, provocation, revocable, revocation, revoice, revoke, sub voce, univocal, univocalic, univocity, vocable, vocabulary, vocal, vocalic, vocality, vocation, vocational, vocative, vociferant, vociferous, voice, voiceprint, vouch, voucher, vouchment, vouchsafe, vowel","†vōcula","voice"
"vulg-","divulge, vulgar, vulgarity, vulgate","vulgus","crowd"
"vulner-","invulnerability, invulnerable, vulnerability, vulnerable, vulnerary, vulnerose","vulnus","wound"
"vulp-","vulpecular, vulpicide, vulpine","vulpēs","fox"
"vulpēcul-","vulpecular, vulpicide, vulpine","†vulpēcula","fox"
